iter	Passed	Remaining
0	160	160455
1	162	81313
2	164	54584
3	165	41215
4	167	33355
5	169	28001
6	171	24358
7	174	21618
8	176	19429
9	177	17593
10	178	16089
11	180	14839
12	181	13776
13	184	12973
14	186	12222
15	187	11536
16	188	10926
17	190	10377
18	191	9883
19	193	9458
20	194	9056
21	195	8690
22	196	8354
23	199	8118
24	200	7836
25	202	7574
26	203	7328
27	204	7100
28	205	6888
29	207	6694
30	208	6513
31	209	6340
32	210	6177
33	214	6082
34	216	5961
35	217	5830
36	219	5713
37	220	5587
38	221	5468
39	223	5356
40	224	5250
41	227	5198
42	231	5144
43	233	5072
44	234	4984
45	236	4896
46	237	4811
47	238	4732
48	242	4697
49	244	4652
50	246	4582
51	247	4512
52	248	4444
53	249	4379
54	251	4315
55	252	4254
56	253	4195
57	255	4144
58	256	4095
59	258	4044
60	259	3993
61	260	3943
62	261	3894
63	263	3846
64	264	3800
65	265	3755
66	266	3711
67	267	3669
68	268	3627
69	270	3592
70	271	3556
71	273	3522
72	274	3485
73	275	3451
74	276	3416
75	278	3384
76	279	3352
77	280	3319
78	282	3288
79	283	3258
80	284	3233
81	286	3205
82	287	3171
83	288	3146
84	289	3121
85	291	3095
86	292	3071
87	293	3045
88	295	3020
89	296	2996
90	297	2972
91	299	2953
92	300	2934
93	303	2924
94	304	2903
95	306	2881
96	307	2860
97	308	2839
98	309	2818
99	310	2797
100	312	2777
101	313	2758
102	316	2753
103	317	2735
104	318	2717
105	320	2699
106	321	2682
107	322	2664
108	323	2645
109	324	2628
110	325	2610
111	326	2592
112	328	2575
113	329	2561
114	331	2548
115	332	2533
116	333	2516
117	334	2502
118	335	2486
119	336	2471
120	338	2456
121	338	2439
122	340	2425
123	341	2411
124	342	2396
125	344	2390
126	345	2377
127	347	2364
128	348	2351
129	349	2339
130	350	2325
131	351	2313
132	352	2300
133	354	2287
134	355	2275
135	356	2262
136	357	2250
137	358	2241
138	360	2230
139	361	2219
140	362	2207
141	363	2194
142	364	2183
143	365	2172
144	366	2161
145	367	2150
146	368	2140
147	369	2129
148	371	2120
149	372	2110
150	373	2101
151	375	2092
152	376	2083
153	377	2073
154	378	2063
155	379	2054
156	380	2044
157	381	2035
158	382	2025
159	384	2016
160	384	2005
161	385	1996
162	387	1988
163	388	1981
164	390	1973
165	391	1966
166	392	1959
167	393	1950
168	395	1942
169	396	1934
170	397	1925
171	398	1918
172	399	1910
173	400	1903
174	402	1899
175	404	1892
176	405	1887
177	407	1880
178	408	1873
179	409	1867
180	411	1860
181	412	1853
182	413	1846
183	414	1839
184	415	1831
185	417	1826
186	418	1820
187	420	1817
188	422	1810
189	423	1804
190	424	1797
191	425	1790
192	426	1784
193	427	1777
194	428	1770
195	430	1763
196	431	1758
197	432	1753
198	434	1747
199	435	1741
200	436	1735
201	437	1729
202	438	1723
203	440	1717
204	441	1711
205	442	1705
206	443	1699
207	444	1693
208	446	1690
209	447	1685
210	449	1680
211	450	1674
212	451	1669
213	453	1664
214	454	1659
215	455	1654
216	457	1649
217	458	1643
218	459	1638
219	461	1637
220	463	1632
221	464	1628
222	465	1623
223	467	1618
224	468	1613
225	469	1608
226	470	1603
227	471	1597
228	473	1592
229	474	1587
230	475	1583
231	477	1579
232	478	1574
233	479	1569
234	480	1565
235	481	1560
236	483	1554
237	484	1549
238	485	1545
239	486	1540
240	487	1536
241	488	1531
242	490	1529
243	492	1525
244	493	1521
245	494	1517
246	496	1512
247	497	1508
248	498	1503
249	499	1499
250	501	1495
251	502	1490
252	503	1487
253	505	1484
254	506	1480
255	508	1478
256	510	1475
257	511	1472
258	513	1467
259	514	1463
260	515	1459
261	516	1454
262	517	1450
263	518	1446
264	520	1444
265	522	1441
266	524	1438
267	525	1434
268	526	1430
269	527	1426
270	528	1422
271	529	1418
272	531	1414
273	532	1410
274	534	1407
275	536	1406
276	537	1403
277	539	1400
278	540	1397
279	541	1393
280	543	1389
281	544	1385
282	545	1381
283	546	1377
284	547	1373
285	549	1370
286	550	1367
287	551	1363
288	552	1359
289	554	1356
290	555	1352
291	556	1349
292	557	1345
293	558	1341
294	559	1338
295	560	1334
296	562	1331
297	563	1327
298	564	1324
299	566	1321
300	567	1318
301	569	1315
302	570	1312
303	571	1308
304	572	1305
305	573	1301
306	575	1297
307	576	1294
308	578	1294
309	580	1291
310	583	1292
311	584	1288
312	585	1285
313	586	1282
314	588	1278
315	589	1275
316	590	1272
317	592	1270
318	593	1267
319	595	1264
320	596	1261
321	598	1259
322	599	1255
323	600	1252
324	601	1249
325	602	1246
326	604	1243
327	605	1240
328	606	1237
329	608	1234
330	609	1231
331	610	1228
332	611	1224
333	612	1221
334	613	1218
335	614	1215
336	616	1212
